experiment_name,timestamp,accuracy,auc_roc,f1,f1_macro,f1_weighted
xgboost_binary_smote,2026-01-25 21:48:53,0.8346,0.8631,0.4828,,
xgboost_binary_nosmote,2026-01-25 21:49:04,0.8787,0.8635,0.4407,,
xgboost_multiclass_smote,2026-01-25 21:49:44,0.614,0.7396,,0.6252,0.6148
xgboost_multiclass_nosmote,2026-01-25 21:49:54,0.6029,0.7466,,0.5754,0.6008
svm_binary_smote,2026-01-25 21:50:05,0.8309,0.8657,0.5208,,
logreg_binary_smote,2026-01-25 21:50:48,0.7868,0.9011,0.5323,,
logreg_binary_smote_finetuned,2026-01-29 17:30:15,0.9007,0.9001,0.6667,,
svm_binary_smote_finetuned,2026-01-29 17:30:43,0.8713,0.7953,0.5333,,
xgboost_binary_smote_finetuned,2026-01-29 17:32:35,0.7941,0.8665,0.5333,,
logreg_binary_smote_refined_2,2026-01-29 17:54:55,0.9044,0.9041,0.6579,,
svm_binary_smote_refined_2,2026-01-29 17:55:17,0.8493,0.8043,0.506,,
xgboost_binary_smote_refined_2,2026-01-29 17:55:31,0.9007,0.8845,0.5714,,
xgboost_binary_smote_refined_3,2026-01-29 17:55:47,0.875,0.8817,0.5526,,
logreg_binary_smote_finetuned_3,2026-01-29 20:37:43,0.9007,0.8979,0.6301,,
logreg_binary_smote_finetuned_4,2026-01-29 20:42:48,0.9044,0.8996,0.6389,,
svm_binary_smote_finetuned_3,2026-01-29 20:43:22,0.8456,0.8775,0.5714,,
svm_binary_smote_finetuned_4,2026-01-29 20:43:46,0.8676,0.8216,0.561,,
xgboost_binary_smote_finetuned_3,2026-01-29 20:44:06,0.8346,0.8884,0.5631,,
xgboost_binary_smote_finetuned_4,2026-01-29 20:44:55,0.875,0.872,0.5405,,
hierarchical_binary_classification,2026-01-29 21:49:30,0.8971,0.8914,0.641,,
hierarchical_binary_svm,2026-01-29 21:49:51,0.886,0.881,0.6353,,
hierarchical_binary_svm_finetuned_1,2026-01-29 22:01:05,0.8971,0.8061,0.6316,,
hierarchical_binary_xgboost,2026-01-29 21:50:36,0.8309,0.8581,0.549,,
hierarchical_binary_xgboost_finetuned_1,2026-01-29 21:50:51,0.8162,0.8658,0.537,,
hierarchical_binary_svm_xg,2026-01-29 21:51:11,0.8309,0.865,0.5306,,
hierarchical_binary_xg_svm,2026-01-29 21:51:28,0.886,0.8814,0.6173,,
hierarchical_binary_svm_finetuned_2,2026-01-29 22:03:07,0.8897,0.8832,0.625,,
hierarchical_binary_svm_finetuned_3,2026-01-29 22:17:27,0.8971,0.8704,0.641,,
hierarchical_binary_svm_finetuned_4,2026-01-31 06:53:13,0.8787,0.8743,0.5926,,
hierarchical_binary_svm_finetuned_5,2026-01-29 22:33:44,0.886,0.8681,0.6265,,
random_forest_binary,2026-01-29 23:30:49,0.875,0.8806,0.575,,
hierarchical_binary_rf_finetuned_1,2026-01-31 12:28:22,0.886,0.8726,0.5974,,
hierarchical_binary_svm_finetuned_7,2026-01-31 12:28:34,0.8787,0.8721,0.6292,,
hierarchical_binary_svm_finetuned_6,2026-01-31 06:55:54,0.8824,0.8771,0.6279,,
hierarchical_binary_lightgbm_1,2026-01-31 15:59:10,0.8897,0.8556,0.5714,,
hierarchical_stacking_ensemble_1,2026-01-31 12:29:14,0.8713,0.8552,0.5679,,
final_model,2026-01-31 15:54:16,0.6875,0.7719,0.5631,,
final_model_2,2026-01-31 15:54:44,0.6944,0.7431,0.5849,,
